street	clause	restriction	side	from_point	to_point	extent	schedule	source_text	notes
Melrose Street	4	parking meter zone	east				8:00 a.m. to 6:00 p.m.	Melrose Street (4) Parking meter zone, two-hour limit, 8:00 a.m. to 6:00 p.m., east side: a) From a point 42 feet south of Commonwealth Avenue southerly 60 feet. b) From a point 122 feet south of Melrose Avenue southerly 68 feet.	two-hour limit; has lettered sub-clauses
Melville Avenue	1	one-hour limit	west				7:00 a.m. to 7:00 p.m.	Melville Avenue (1) One-hour limit, 7:00 a.m. to 7:00 p.m., west side.	
Meredith Avenue	1	two-hour limit	both				8:00 a.m. to 5:00 p.m.	Meredith Avenue (1) Two-hour limit, 8:00 a.m. to 5:00 p.m., both sides.	
Merton Street	1	two-hour limit	both		entire length	entire length	7:00 a.m. to 6:00 p.m.	Merton Street (1) Two-hour limit, 7:00 a.m. to 6:00 p.m., both sides, entire length.	
Middle Street	1	prohibited	south	Adams Street			all days	Middle Street (1) Prohibited, all days, south side, from Adams Street easterly 40 feet.	
Middle Street	2	two-hour limit	south	40 feet east of Adams Street				Middle Street (2) Two-hour limit, South side, from 40 feet east of Adams Street easterly 150 feet.	
Middle Street	3	prohibited	both				second Tuesday of every month; 9:00 a.m. to 1:00 p.m.	Middle Street (3) Prohibited 9:00 a.m. to 1:00 p.m., both sides, second Tuesday of every month.	
Middlesex Road	1	prohibited	north/south				Saturdays included; 7:30 a.m. to 3:30 p.m.	Middlesex Road (1) Prohibited, Saturdays included: a) North side, 7:30 a.m. to 3:30 p.m., from a point 620 feet east of Hammond Street easterly 243 feet. b) South side from Hammond Street to the Brookline line.	has lettered sub-clauses
Middlesex Road	2	one-half-hour limit	north	Hammond Street			Saturdays included; 7:00 a.m. to 9:00 a.m.	Middlesex Road (2) One-half-hour limit, Saturdays included, 7:00 a.m. to 9:00 a.m., north side from Hammond Street easterly 300 feet.	
Middlesex Road	3	15-minute limit	north	Hammond Street			Saturdays included; 9:00 a.m. to 10:00 p.m.	Middlesex Road (3) Fifteen-minute limit, Saturdays included, 9:00 a.m. to 10:00 p.m.: a) North side from Hammond Street easterly 300 feet.	has lettered sub-clauses
Middlesex Road	4	two-hour limit	north				Saturdays included	Middlesex Road (4) Two-hour limit, Saturdays included: a) North side, from a point 300 feet east of Hammond Street. easterly 320 feet. b) North side, from a point 175 feet easterly of Devon Street to the Brookline line.	has lettered sub-clauses
Mill Street	1	prohibited	north/both				all days	Mill Street (1) Prohibited, all days: a) North side, from Centre Street westerly to Blake Street. b) both sides, from Upland Road to Walnut Street.	has lettered sub-clauses
Mill Street	2	prohibited	south	Centre Street	Morseland Avenue		all days; 7:00 a.m. to 7:00 p.m.	Mill Street (2) Prohibited, all days, 7:00 a.m. to 7:00 p.m., south side, from Centre Street westerly to Morseland Avenue.	
Miller Road	1	prohibited	both	Centre Street			all days	Miller Road (1) Prohibited, all days, both sides, from Centre Street 175 feet southeasterly.	
Minot Place	1	prohibited	both		entire length	entire length	all days	Minot Place (1) Prohibited, all days, both sides, entire length.	
Moffat Road	1	prohibited	north/south	Chestnut Street			all days	Moffat Road (1) Prohibited, all days: a) North side, from Chestnut Street 100 feet westerly. b) South Side, from Chestnut Street 140 feet westerly.	has lettered sub-clauses
Monadnock Road	1	one-hour limit	both	Tudor Road	Hammondswood Road		all days	Monadnock Road (1) One-hour limit, all days, both sides from Tudor Road to Hammondswood Road.	
Monadnock Road	2	one-hour limit	north	Hammondswood Road	Wachusett Road		7:00 a.m. to 1:00 p.m.	Monadnock Road (2) One-hour limit, 7:00 a.m. to 1:00 p.m., north side, from Hammondswood Road to Wachusett Road.	
Monadnock Road	3	prohibited	south	Hammondswood Road	Wachusett Road		all days	Monadnock Road (3) Prohibited, all days, south side, from Hammondswood Road to Wachusett Road.	
Montclair Road	1	prohibited	southwesterly		entire length	entire length	all days	Montclair Road (1) Prohibited, all days, southwesterly side, entire length.	
Montrose Street	1	prohibited	north				all days; 7:00 a.m. to 9:00 p.m.	Montrose Street (1) Prohibited all days: a) North side, 7:00 a.m. to 9:00 p.m., Saturdays and Sundays included, from a point 948 feet east of Waverley Avenue easterly 435 feet.	has lettered sub-clauses
Morseland Avenue	1	prohibited	east	Ward Street	Mill Street		all days	Morseland Avenue (1) Prohibited, all days, east side from Ward Street to Mill Street.	
Morseland Avenue	2	prohibited	both	Commonwealth Avenue	Ward Street		all days	Morseland Avenue (2) Prohibited, all days, both sides, from Commonwealth Avenue to Ward Street.	
Moulton Street	1	prohibited	both	Grove Street	Gail Road		9:00 am to 11:00 am	Moulton Street (1) Prohibited, 9:00 am to 11:00 am, both sides, Grove Street to Gail Road.	
Mount. Alvernia Road	1	prohibited	west					Mount. Alvernia Road (1) Prohibited, west side.	
Mount. Alvernia Road	2	one-hour limit	east				8:00 a.m. to 6:00 p.m.	Mount. Alvernia Road (2) One hour limit, 8:00 a.m. to 6:00 p.m. east side.	
Mount. Ida Street	1	prohibited	northwest	Centre Street	Newtonville Avenue		all days	Mount. Ida Street (1) Prohibited, all days, northwest side, from Centre Street to Newtonville Avenue.	
Mount. Ida Street	2	two-hour limit	southeast	Centre Street	Newtonville Avenue		7:00 a.m. to 7:00 p.m.	Mount. Ida Street (2) Two (2) hour limit 7:00 a.m. to 7:00 p.m. southeast side, from Centre Street to Newtonville Avenue.	
Mountfort Road	1	prohibited	west	Wood End Road	Lincoln Street		all days	Mountfort Road (1) Prohibited, all days, west side, from Wood End Road to Lincoln Street.	
Mountfort Road	2	two-hour limit	east	Wood End Road	Lincoln Street		8:00 a.m. to 6:00 p.m.	Mountfort Road (2) Two-hour limit, 8:00 a.m. to 6:00 p.m., east side, from Wood End Road to Lincoln Street.	
Murphy Court	1	prohibited	south				all days	Murphy Court (1) Prohibited, all days, south side.	
Murphy Court	2	prohibited	north	Adams Street			all days	Murphy Court (2) Prohibited, all days, north side, from Adams Street westerly 50 feet.	
Murphy Court	3	accessible parking only	north	70 feet west of Adams Street				Murphy Court (3) Accessible parking, north side, from a point 70 west of Adams Street westerly 20 feet.	
Myrtle Avenue	1	prohibited	both/north				all days	Myrtle Avenue (1) Prohibited, all days: (a) From Grove Street to a point easterly 100 feet, both sides. (b) Seminary Avenue to Lake Avenue, north side.	has lettered sub-clauses
Myrtle Street	1	prohibited	north/east				all days	Myrtle Street (1) Prohibited all days, north/east side.	
Nahanton Street	1	prohibited	north/south				all days	Nahanton Street (1) Prohibited, all days: a) north side, from Needham town boundary to 50 feet east of Winchester Street. b) north side, from a point 800 feet east of Winchester Street to Dedham Street. c) south side, from Needham town boundary to Dedham Street.	has lettered sub-clauses
Needham Street	1	prohibited	both		entire length	entire length	all times	Needham Street (1) Prohibited, all times, entire length, both sides.	
Nevada Street	1	prohibited	west/east				all times	Nevada Street (1) Prohibited, all times. (a) California Street to Thaxter Road, west side. (b) From a point 490 feet south of California Street to a point 570 feet south of California Street, west side. (c) From a point 590 feet south of California Street to Linwood Avenue, west side. (d) From a point 80 feet south of California Street to California Street, east side.	has lettered sub-clauses
Nevada Street	2	prohibited	west	Churchill Street	Watertown Street		7:00 a.m. to 6:00 p.m.	Nevada Street (2) Prohibited, 7:00 a.m. to 6:00 p.m., Churchill Street to Watertown Street, west side.	
Newbury Street	1	prohibited	west/south					Newbury Street (1) Prohibited, West side and South side, between Memorial Day and Labor Day.	
Newland Street	1	prohibited	north		entire length	entire length		Newland Street (1) Prohibited, north side, entire length.	
Newtonville Avenue	1	prohibited	north	Bowers Street	Harvard Street		all days	Newtonville Avenue (1) Prohibited, all days, north side from Bowers Street to Harvard Street.	
Newtonville Avenue	2	parking meter zone	south	Walnut Street			8:00 a.m. to 6:00 p.m.	Newtonville Avenue (2) Parking meter zone, one-hour limit, 8:00 a.m. to 6:00 p.m., south side from Walnut Street 120 feet easterly.	one-hour limit
Newtonville Avenue	3	two-hour limit	both	Centre Street			7:00 a.m. to 7:00 p.m.	Newtonville Avenue (3) Two-hour limit, 7:00 a.m. to 7:00 p.m., both sides, from Centre Street westerly to a point 60 feet west of Oakland Street.	
Newtonville Avenue	4	prohibited	south	Mt. Ida Street	Centre Street		all days	Newtonville Avenue (4) Prohibited, all days, south side, from Mt. Ida Street to Centre Street.	
Newtonville Avenue	5	prohibited	north	Harvard Street				Newtonville Avenue (5) Prohibited, north side, from Harvard Street easterly 65 feet.	
Newtonville Avenue	6	two-hour limit	south/north				8:00 a.m. to 6:00 p.m.	Newtonville Avenue (6) Two-hour limit, 8:00 a.m. to 6:00 p.m.: a) south side, from a point 120 feet east of Walnut Street to opposite Farquhar Road. b) north side, from a point 65 feet east of Harvard Street easterly 325 feet.	has lettered sub-clauses
Nonantum Place	1	prohibited	west	Jefferson Street	Charlesbank Road		all days	Nonantum Place (1) Prohibited, all days, Jefferson Street to Charlesbank Road, west side.	
Nonantum Place	2	prohibited	east	Charlesbank Road			all days	Nonantum Place (2) Prohibited, all days, Charlesbank Road to a point 40 feet north of Charlesbank Road, east side.	
Nonantum Place	3	prohibited	east	40 feet north of Charlesbank Road	260 feet north of Charlesbank Road		including Saturdays; 9:00 a.m. to 11:00 a.m.	Nonantum Place (3) Prohibited 9:00 a.m. to 11:00 a.m., including Saturdays, except by Resident Permit,, from a point 40 feet north of Charlesbank Road to a point 260 feet north of Charlesbank Road, east side.	except by Resident Permit
Nonantum Place	4	prohibited	east	260 feet north of Charlesbank Road	425 feet north of Charlesbank Road		all days	Nonantum Place (4) Prohibited, all days, from a point 260 feet north of Charlesbank Road to a point 425 feet north of Charlesbank Road, east side.	
Nonantum Place	5	prohibited	east	425 feet north of Charlesbank Road	530 feet north of Charlesbank Road		including Saturdays; 9:00 a.m. to 11:00 a.m.	Nonantum Place (5) Prohibited 9:00 a.m. to 11:00 a.m., including Saturdays, except by Resident Permit,, from a point 425 feet north of Charlesbank Road to a point 530 feet north of Charlesbank Road, east side.	except by Resident Permit
Nonantum Place	6	prohibited	east	35 feet south of Jefferson Street	Jefferson Street		all days	Nonantum Place (6) Prohibited, all days, from a point 35 feet south of Jefferson Street to Jefferson Street, east side.	
Norman Road	1	prohibited	east		entire length	entire length	all days	Norman Road (1) Prohibited, all days, east side, entire length.	
Norman Road	2	two-hour limit	west		entire length	entire length	8:00 a.m. to 4:00 p.m.	Norman Road (2) Two-hour limit, 8:00 a.m. to 4:00 p.m., west side, entire length, except by Resident Permit as listed in TPR-202.	see TPR-202
North Street (Newtonville)	1	prohibited	east				all days	North Street (Newtonville) (1) Prohibited, all days: a) East side, from a point 420 feet north of Farwell street, northerly 65 feet. b) East side, from a point 725 feet north of Farwell Street, northerly 65 feet.	has lettered sub-clauses; text continues beyond line 3719
Norumbega Court	1	prohibited	south		entire length	entire length	all days	Norumbega Court (1) Prohibited, all days, south side, entire length.	
Norumbega Court	2	one-hour limit	north		entire length	entire length	8:00 a.m. to 6:00 p.m.	Norumbega Court (2) One-hour limit, 8:00 a.m. to 6:00 p.m., north side, entire length.	
Norwood Avenue (Newtonville)	1	prohibited	south				all times; all days, all times; all days	Norwood Avenue (Newtonville) (1) Prohibited, all days, all times, south side.	
Norwood Avenue (Newtonville)	2	prohibited	north	Parkview Avenue	a point 20 feet west of Bridges Avenue		school days	Norwood Avenue (Newtonville) (2) Prohibited, 7:00 a.m. 4:00 p.m., school days, north side, from Parkview Avenue to a point 20 feet west of Bridges Avenue.	
Norwood Avenue (Newton Centre)	1	prohibited					all days	Norwood Avenue (Newton Centre) (1) Prohibited, all days: a) East side and north side, from Crescent Avenue to Centre Street. b) South side, from Centre Street westerly 100 feet. c) West side, from Crescent Avenue to a point 140 feet southerly. d) West side, from a point 565 feet south of Crescent Avenue, southeasterly 50 feet.	has lettered sub-clauses
Norwood Avenue (Newton Centre)	2	two-hour limit					8:00 a.m. to 6:00 p.m.	Norwood Avenue (Newton Centre) (2) Two-hour limit, 8:00 a.m. to 6:00 p.m.: a) West side, from a point 140 feet south of Crescent Avenue to a point 565 feet south of Crescent Avenue. b) South side, from a point 100 feet west of Centre Street westerly 250 feet.	has lettered sub-clauses
Oak Avenue	1	prohibited	east	Webster Street	a point 400 feet northerly		all days	Oak Avenue (1) Prohibited, all days, east side from Webster Street to a point 400 feet northerly.	
Oak Avenue	2	prohibited	west				7:00 a.m. to 9:00 a.m.	Oak Avenue (2) Prohibited, 7:00 a.m. to 9:00 a.m., west side.	
Oak Street	1	prohibited					all days	Oak Street (1) Prohibited, all days: a) West side from Elliot Street to Cliff Road. b) Northeast side from Chestnut Street to a point 150 feet southeast of Chestnut Street. c) East side from Pennsylvania Avenue to Chestnut Street. d) North side from Needham Street westerly 200 feet. e) South side from Abbott Street to Needham Street. f) South side from Chestnut Street easterly 200 feet. g) West side, from a point 130 feet south of Indiana Terrace to Chestnut Street.	has lettered sub-clauses
Oak Street	2	two-hour limit					7:00 a.m. to 7:00 p.m.	Oak Street (2) Two-hour limit 7:00 a.m. to 7:00 p.m.: a) West side from Cliff Road to a point 100 feet south of Indiana Terrace. b) South Side, from a point 200 feet east of Chestnut Street to Abbott Street. c) Northeast side, from Chestnut Street southeasterly 140 feet. d) North Side, from a point 150' east of Chestnut St to a point 200' west of Needham Street.	has lettered sub-clauses
Oak Street	3	fifteen-minute limit	west	a point 100 feet south of Indiana Terrace	30 feet southerly			Oak Street (3) Fifteen-minute limit, west side, from a point 100 feet south of Indiana Terrace, 30 feet southerly.	
Oak Cliff Road	1	prohibited	east	Arden Road	end of public way		all times; all days, all times; all days	Oak Cliff Road (1) Prohibited, all days, all times, east side from Arden Road to end of public way.	
Oak Hill Street	1	prohibited	both	Brookline Street	Puddingstone Lane		all days	Oak Hill Street (1) Prohibited, all days, from Brookline Street to Puddingstone Lane, both sides.	
Oakland Street	1	prohibited	west				all days; 7:00 a.m. to 10:00 p.m.	Oakland Street (1) Prohibited, all days, 7:00 a.m. to 10:00 p.m., west side.	
Oakland Street	2	prohibited	east	a point 175 feet north of Newtonville Avenue	northerly 60 feet		all days	Oakland Street (2) Prohibited, all days, east side from a point 175 feet north of Newtonville Avenue, northerly 60 feet.	
Oakleigh Road	1	two-hour limit	both		entire length	entire length	7:00 a.m. to 6:00 p.m.	Oakleigh Road (1) Two-hour limit, 7:00 a.m. to 6:00 p.m., both sides, entire length.	
